model,kimgs,fid
no_ada,5000,115.4108334473255
no_ada,10000,103.2070657596274
no_ada,15000,104.55574810583732
no_ada,20000,118.15112057820977
no_ada,25000,128.09302144676633
std_ada,5000,96.69264019095004
std_ada,10000,67.38074797232372
std_ada,15000,55.80420954127868
std_ada,20000,51.40843830966696
std_ada,25000,50.63009966675304
dropout,5000,79.70741287815514
dropout,10000,69.42190986088016
dropout,15000,65.35120156562647
dropout,20000,60.754324661444116
dropout,25000,57.96506590953243
